,Country_Other,Continent,Total_Cases,New_Cases,Total_Deaths,New_Deaths,Total_Recovered,Active_Cases,Serious_Critical,Tot_Cases_per_1_million_pop,Deaths_per_1_million_pop,Total_Tests,Tests_per_1_million_pop,Population
0,North America,North America,"32,404,817","+35,560","718,463","+1,063","21,644,999","10,041,355","26,054",,,,,
1,Asia,Asia,"24,092,334","+58,199","386,420",+669,"22,644,994","1,060,920","22,369",,,,,
2,South America,South America,"16,939,823","+9,995","442,266",+229,"15,259,788","1,237,769","20,004",,,,,
3,Europe,Europe,"32,319,001","+75,431","768,786","+2,085","19,137,307","12,412,908","27,321",,,,,
4,Africa,Africa,"3,779,905","+4,390","98,713",+112,"3,307,963","373,229","2,440",,,,,
5,Oceania,Australia/Oceania,"50,557",+8,"1,080",,"34,208","15,269",5,,,,,
6,World,All,"109,587,158","+183,583","2,415,743","+4,158","82,029,965","25,141,450","98,193","14,059",309.9,,,
7,USA,North America,"28,291,581","+28,457","497,761 ",+554,"18,296,130","9,497,690","19,387","85,161","1,498","335,804,261","1,010,806","332,214,450 "
8,India,Asia,"10,925,208","+9,036","155,836 ",+72,"10,630,779","138,593","8,944","7,869",112,"206,230,512","148,532","1,388,456,735 "
9,Brazil,South America,"9,840,002","+5,489","239,359 ",+65,"8,745,424","855,219","8,318","46,089","1,121","28,600,000","133,957","213,502,116 "
10,Russia,Europe,"4,086,090","+14,207","80,520 ",+394,"3,607,036","398,534","2,300","27,992",552,"107,100,000","733,694","145,973,639 "
11,UK,Europe,"4,047,843","+9,765","117,396 ",+230,"2,190,406","1,740,041","2,943","59,432","1,724","82,527,930","1,211,709","68,108,720 "
12,France,Europe,"3,465,163",,"81,814 ",,"238,753","3,144,596","3,337","53,013","1,252","48,207,178","737,520","65,363,856 "
13,Spain,Europe,"3,086,286","+11,942","65,449 ",+234,N/A,N/A,"4,128","65,994","1,399","37,334,915","798,333","46,766,116 "
14,Italy,Europe,"2,729,223","+7,351","93,835 ",+258,"2,237,290","398,098","2,089","45,181","1,553","36,347,859","601,725","60,406,112 "
15,Turkey,Asia,"2,594,128","+7,945","27,562 ",+91,"2,482,435","84,131","1,232","30,554",325,"31,633,171","372,575","84,904,146 "
16,Germany,Europe,"2,345,569","+3,863","65,815 ",+249,"2,128,800","150,954","3,736","27,940",784,"41,758,675","497,415","83,951,432 "
17,Colombia,South America,"2,195,039",,"57,605 ",,"2,083,551","53,883","3,482","42,855","1,125","10,847,421","211,778","51,220,603 "
18,Argentina,South America,"2,025,798",,"50,236 ",,"1,827,118","148,444","3,547","44,568","1,105","6,835,470","150,381","45,454,234 "
19,Mexico,North America,"1,992,794","+4,099","174,207 ",+436,"1,548,174","270,413","4,798","15,356","1,342","5,097,666","39,280","129,776,336 "
20,Poland,Europe,"1,591,497","+2,543","40,832 ",+25,"1,347,670","202,995","1,279","42,080","1,080","9,178,403","242,682","37,820,640 "
21,Iran,Asia,"1,526,023","+7,760","59,028 ",+83,"1,304,330","162,665","3,704","18,025",697,"10,105,080","119,359","84,661,577 "
22,South Africa,Africa,"1,491,807",,"47,899 ",,"1,388,321","55,587",546,"24,958",801,"8,697,066","145,500","59,773,807 "
23,Ukraine,Europe,"1,273,475","+2,332","24,392 ",+62,"1,116,779","132,304",177,"29,229",560,"6,447,576","147,986","43,568,752 "
24,Peru,South America,"1,235,298",,"43,703 ",,"1,144,108","47,487","2,083","37,144","1,314","6,927,747","208,307","33,257,327 "
25,Indonesia,Asia,"1,223,930","+6,462","33,367 ",+184,"1,032,065","158,498",,"4,445",121,"10,087,796","36,640","275,324,734 "
26,Czechia,Europe,"1,090,860","+2,832","18,250 ",+63,"969,154","103,456","1,084","101,746","1,702","6,989,029","651,876","10,721,410 "
27,Netherlands,Europe,"1,032,094","+2,810","14,843 ",+27,N/A,N/A,536,"60,150",865,"6,970,400","406,234","17,158,587 "
28,Canada,North America,"826,522",+737,"21,309 ",+16,"769,687","35,526",622,"21,780",562,"23,022,414","606,676","37,948,429 "
29,Portugal,Europe,"787,059","+1,303","15,411 ",+90,"668,854","102,794",784,"77,329","1,514","7,766,721","763,084","10,178,065 "
30,Chile,South America,"779,541","+3,332","19,624 ",+83,"737,126","22,791","1,558","40,562","1,021","8,775,309","456,607","19,218,497 "
31,Romania,Europe,"763,294","+1,331","19,445 ",+79,"709,520","34,329",941,"39,844","1,015","5,725,543","298,874","19,157,069 "
32,Belgium,Europe,"738,631","+1,516","21,662 ",+28,"50,847","666,122",298,"63,559","1,864","8,899,954","765,842","11,621,138 "
33,Israel,Asia,"729,373","+4,993","5,406 ",+18,"670,010","53,957",979,"79,300",588,"11,405,358","1,240,038","9,197,590 "
34,Iraq,Asia,"646,650","+2,798","13,185 ",+6,"608,178","25,287",284,"15,857",323,"6,278,144","153,949","40,780,662 "
35,Sweden,Europe,"608,411",,"12,428 ",,N/A,N/A,218,"60,010","1,226","5,708,037","563,002","10,138,573 "
36,Pakistan,Asia,"564,077","+1,048","12,333 ",+26,"525,997","25,747","1,680","2,523",55,"8,466,117","37,871","223,549,604 "
37,Philippines,Asia,"550,860","+1,685","11,517 ",+2,"511,755","27,588",807,"4,986",104,"8,342,106","75,502","110,487,910 "
38,Switzerland,Europe,"543,207","+2,480","9,792 ",+27,"485,615","47,800",224,"62,480","1,126","4,740,077","545,206","8,694,106 "
39,Bangladesh,Asia,"541,038",+446,"8,285 ",+11,"487,870","44,883",,"3,265",50,"3,862,254","23,307","165,711,466 "
40,Morocco,Africa,"478,595",+121,"8,491 ",+14,"459,549","10,555",303,"12,871",228,"5,528,792","148,692","37,182,801 "
41,Austria,Europe,"434,712","+1,225","8,221 ",+10,"412,457","14,034",258,"48,096",910,"4,865,656","538,327","9,038,484 "
42,Serbia,Europe,"422,210","+1,331","4,245 ",+15,"31,536","386,429",142,"48,445",487,"2,775,719","318,488","8,715,289 "
43,Japan,Asia,"415,782","+1,310","6,952 ",+40,"385,097","23,733",658,"3,294",55,"7,587,036","60,103","126,233,643 "
44,Hungary,Europe,"388,799","+1,337","13,752 ",+46,"298,008","77,039",314,"40,311","1,426","3,388,457","351,319","9,644,971 "
45,Saudi Arabia,Asia,"373,046",+314,"6,438 ",+5,"363,926","2,682",472,"10,613",183,"12,946,778","368,324","35,150,531 "
46,UAE,Asia,"351,895","+3,123","1,027 ",+13,"336,731","14,137",,"35,314",103,"28,277,212","2,837,723","9,964,753 "
47,Jordan,Asia,"349,562","+2,312","4,473 ",+18,"328,231","16,858",150,"34,050",436,"4,234,459","412,465","10,266,233 "
48,Lebanon,Asia,"340,868","+1,739","4,037 ",+44,"245,093","91,738",941,"50,082",593,"2,813,484","413,367","6,806,263 "
49,Panama,North America,"332,179",,"5,636 ",,"311,783","14,760",202,"76,241","1,294","1,796,407","412,309","4,356,939 "
50,Slovakia,Europe,"278,254",+572,"5,952 ",+67,"255,300","17,002",590,"50,950","1,090","1,905,895","348,982","5,461,298 "
51,Nepal,Asia,"272,840",+122,"2,055 ",+1,"269,204","1,581",,"9,261",70,"2,120,591","71,978","29,461,754 "
52,Belarus,Europe,"269,787","+1,100","1,858 ",+9,"259,029","8,900",,"28,557",197,"4,690,812","496,520","9,447,376 "
53,Ecuador,South America,"267,701",+478,"15,355 ",+34,"230,377","21,969",486,"15,031",862,"946,607","53,152","17,809,447 "
54,Malaysia,Asia,"266,445","+2,176",975 ,+10,"218,335","47,135",260,"8,167",30,"5,552,058","170,184","32,623,906 "
55,Georgia,Asia,"265,722",+165,"3,363 ",+11,"258,732","3,627",,"66,691",844,"2,462,723","618,096","3,984,367 "
56,Croatia,Europe,"237,725",+68,"5,339 ",+21,"230,384","2,002",86,"58,132","1,306","1,268,323","310,152","4,089,366 "
57,Bolivia,South America,"236,732",+696,"11,202 ",+47,"177,775","47,755",71,"20,110",952,"642,911","54,614","11,772,004 "
58,Azerbaijan,Asia,"232,197",+74,"3,183 ",+3,"226,760","2,254",,"22,773",312,"2,506,005","245,780","10,196,136 "
59,Dominican Republic,North America,"230,563",+795,"2,959 ",+15,"178,146","49,458",256,"21,122",271,"1,146,477","105,030","10,915,672 "
60,Bulgaria,Europe,"229,679",,"9,624 ",,"196,920","23,135",301,"33,212","1,392","1,522,236","220,117","6,915,572 "
61,Tunisia,Africa,"223,244",,"7,544 ",,"182,421","33,279",316,"18,767",634,"927,444","77,965","11,895,633 "
62,Ireland,Europe,"210,402",+820,"3,948 ",,"23,364","183,090",158,"42,316",794,"3,332,110","670,159","4,972,122 "
63,Denmark,Europe,"204,799",+437,"2,301 ",+9,"196,765","5,733",68,"35,280",396,"15,295,835","2,634,963","5,804,952 "
64,Kazakhstan,Asia,"202,573",+772,"2,540 ",,"185,205","14,828",221,"10,709",134,"6,399,596","338,308","18,916,458 "
65,Costa Rica,North America,"199,187",,"2,714 ",,"160,946","35,527",168,"38,880",530,"629,031","122,783","5,123,108 "
66,Lithuania,Europe,"190,937",+203,"3,080 ",+8,"175,034","12,823",128,"70,761","1,141","2,024,493","750,272","2,698,347 "
67,Slovenia,Europe,"179,726",+244,"3,728 ",+11,"163,162","12,836",135,"86,443","1,793","858,983","413,148","2,079,117 "
68,Kuwait,Asia,"178,524",+823,"1,009 ",+6,"166,791","10,724",138,"41,423",234,"1,676,855","389,079","4,309,806 "
69,Egypt,Africa,"173,813",,"9,994 ",,"134,960","28,859",90,"1,679",97,"1,000,000","9,659","103,530,577 "
70,Greece,Europe,"172,824",+696,"6,152 ",+26,"153,740","12,932",301,"16,632",592,"4,727,237","454,931","10,391,097 "
71,Moldova,Europe,"170,549",+363,"3,661 ",+10,"158,005","8,883",281,"42,340",909,"669,528","166,215","4,028,085 "
72,Armenia,Asia,"169,255",+88,"3,147 ",+6,"161,105","5,003",,"57,051","1,061","684,640","230,774","2,966,708 "
73,Palestine,Asia,"168,444",+840,"1,936 ",+3,"157,205","9,303",63,"32,551",374,"1,085,827","209,833","5,174,714 "
74,Guatemala,North America,"167,383",+104,"6,150 ",+26,"154,446","6,787",5,"9,237",339,"853,656","47,109","18,120,998 "
75,Honduras,North America,"160,171",+383,"3,866 ",+9,"63,170","93,135",416,"16,013",387,"410,520","41,042","10,002,405 "
76,Qatar,Asia,"158,132",+448,255 ,,"148,677","9,200",98,"56,319",91,"1,476,247","525,766","2,807,805 "
77,Ethiopia,Africa,"147,825",+733,"2,209 ",+15,"128,946","16,670",307,"1,266",19,"2,051,853","17,579","116,722,101 "
78,Nigeria,Africa,"146,184",,"1,752 ",,"120,838","23,594",10,698,8,"1,398,630","6,683","209,294,634 "
79,Paraguay,South America,"144,042",,"2,936 ",,"120,611","20,495",240,"20,042",409,"700,763","97,504","7,187,044 "
80,Myanmar,Asia,"141,601",,"3,189 ",,"130,331","8,081",,"2,592",58,"2,475,910","45,315","54,637,421 "
81,Oman,Asia,"137,592",+286,"1,543 ",+1,"129,291","6,758",41,"26,527",297,"1,550,000","298,836","5,186,795 "
82,Venezuela,South America,"133,218",,"1,279 ",,"125,179","6,760",110,"4,693",45,"2,781,130","97,977","28,385,417 "
83,Libya,Africa,"127,705",+351,"2,042 ",+24,"110,965","14,698",,"18,430",295,"696,224","100,474","6,929,378 "
84,Bosnia and Herzegovina,Europe,"126,139",+116,"4,916 ",+18,"105,140","16,083",,"38,598","1,504","631,187","193,142","3,268,002 "
85,Bahrain,Asia,"112,742",,403 ,,"105,166","7,173",58,"64,874",232,"2,900,004","1,668,709","1,737,873 "
86,Algeria,Africa,"110,711",,"2,939 ",,"75,999","31,773",42,"2,497",66,,,"44,342,011 "
87,Kenya,Africa,"103,014",+147,"1,795 ",,"85,250","15,969",34,"1,890",33,"1,243,431","22,814","54,503,940 "
88,North Macedonia,Europe,"97,101",+49,"2,998 ",+9,"87,960","6,143",131,"46,609","1,439","487,716","234,105","2,083,320 "
89,Albania,Europe,"93,850",+775,"1,567 ",+12,"57,736","34,547",37,"32,634",545,"405,994","141,175","2,875,828 "
90,Kyrgyzstan,Asia,"85,516",+41,"1,442 ",+1,"82,306","1,768",50,"12,975",219,"702,895","106,645","6,590,997 "
91,S. Korea,Asia,"83,869",+344,"1,527 ",+5,"73,794","8,548",156,"1,635",30,"6,162,860","120,141","51,296,803 "
92,Uzbekistan,Asia,"79,442",+26,622 ,,"77,928",892,153,"2,352",18,"1,377,915","40,802","33,770,587 "
93,Latvia,Europe,"76,984",+278,"1,468 ",+17,"65,450","10,066",97,"41,100",784,"1,314,446","701,760","1,873,071 "
94,Ghana,Africa,"76,492",+656,542 ,+9,"68,100","7,850",106,"2,430",17,"837,925","26,622","31,474,427 "
95,Sri Lanka,Asia,"76,428",+774,403 ,+6,"69,411","6,614",,"3,560",19,"1,831,420","85,304","21,469,352 "
96,Zambia,Africa,"70,248",+811,959 ,+8,"63,262","6,027",318,"3,756",51,"1,022,943","54,699","18,701,262 "
97,Montenegro,Europe,"69,294",+373,899 ,+9,"59,804","8,591",68,"110,320","1,431","255,959","407,503","628,116 "
98,Norway,Europe,"66,666",+165,593 ,+1,"57,004","9,069",18,"12,238",109,"3,562,573","653,962","5,447,679 "
99,Singapore,Asia,"59,809",+9,29 ,,"59,641",139,1,"10,173",5,"6,799,834","1,156,624","5,879,037 "
100,El Salvador,North America,"57,428",,"1,742 ",,"51,983","3,703",58,"8,826",268,"717,882","110,331","6,506,646 "
101,Afghanistan,Asia,"55,518",+4,"2,428 ",+1,"48,433","4,657","1,013","1,407",62,"276,878","7,015","39,470,481 "
102,Luxembourg,Europe,"52,923",+39,611 ,+4,"49,775","2,537",13,"83,699",966,"2,005,394","3,171,591","632,299 "
103,Estonia,Europe,"52,827",+412,501 ,+6,"41,461","10,865",33,"39,807",378,"845,455","637,073","1,327,093 "
104,Mozambique,Africa,"50,691",+426,547 ,+12,"31,947","18,197",,"1,594",17,"384,934","12,107","31,795,108 "
105,Finland,Europe,"50,662",+343,716 ,+6,"40,000","9,946",21,"9,135",129,"3,062,904","552,262","5,546,106 "
106,Uruguay,South America,"48,909",,535 ,,"42,889","5,485",84,"14,049",154,"931,603","267,606","3,481,255 "
107,Uganda,Africa,"40,055",+36,328 ,,"14,520","25,207",,859,7,"856,762","18,374","46,629,304 "
108,Cuba,North America,"39,004",+715,269 ,+3,"33,776","4,959",70,"3,445",24,"2,160,943","190,857","11,322,285 "
109,Namibia,Africa,"36,225",+273,389 ,+1,"34,261","1,575",14,"14,098",151,"284,625","110,773","2,569,435 "
110,Zimbabwe,Africa,"35,172",,"1,400 ",,"30,601","3,171",3,"2,345",93,"312,682","20,849","14,997,352 "
111,Cyprus,Asia,"32,513",,221 ,,"2,057","30,235",28,"26,807",182,"1,510,541","1,245,456","1,212,842 "
112,Cameroon,Africa,"32,098",,479 ,,"29,609","2,010",25,"1,191",18,"149,000","5,528","26,953,888 "
113,Senegal,Africa,"31,275",+268,754 ,+6,"25,635","4,886",63,"1,838",44,"360,544","21,188","17,016,141 "
114,Ivory Coast,Africa,"31,140",,174 ,,"29,338","1,628",,"1,163",6,"385,616","14,399","26,781,647 "
115,Malawi,Africa,"29,181",+146,958 ,+6,"14,195","14,028",4,"1,501",49,"172,124","8,856","19,435,011 "
116,Australia,Australia/Oceania,"28,900",+2,909 ,,"26,126","1,865",,"1,125",35,"13,691,053","533,057","25,684,020 "
117,Sudan,Africa,"27,820",,"1,849 ",,"22,208","3,763",,625,42,,,"44,482,040 "
118,Botswana,Africa,"24,926",,202  ,,"21,214","3,510",1,"10,469",85,"706,026","296,521","2,381,030 "
119,Thailand,Asia,"24,714",+143,82 ,+2,"22,883","1,749",1,354,1,"1,217,873","17,421","69,909,517 "
120,DRC,Africa,"24,295",,693 ,,"15,298","8,304",,266,8,,,"91,236,998 "
121,Angola,Africa,"20,366",,492 ,,"18,795","1,079",7,608,15,"178,539","5,330","33,495,142 "
122,Malta,Europe,"19,945",+156,295 ,+2,"17,310","2,340",18,"45,096",667,"656,803","1,485,046","442,278 "
123,Madagascar,Africa,"19,598",,292 ,,"18,915",391,16,697,10,"116,740","4,150","28,130,370 "
124,Jamaica,North America,"19,305",+270,378 ,+4,"12,635","6,292",21,"6,502",127,"186,745","62,893","2,969,243 "
125,French Polynesia,Australia/Oceania,"18,263",,135 ,,"4,842","13,286",5,"64,780",479,"26,355","93,483","281,922 "
126,Maldives,Asia,"17,828",,58 ,,"15,448","2,322",178,"32,625",106,"461,617","844,759","546,448 "
127,Rwanda,Africa,"17,343",,239 ,,"14,792","2,312",15,"1,319",18,"947,907","72,082","13,150,485 "
128,Mauritania,Africa,"16,974",,430 ,,"16,240",304,14,"3,592",91,"158,510","33,547","4,725,060 "
129,Eswatini,Africa,"16,576",+41,634 ,+4,"12,307","3,635",67,"14,196",543,"142,238","121,816","1,167,645 "
130,French Guiana,South America,"16,456",,80 ,,"9,995","6,381",11,"54,228",264,"143,389","472,515","303,459 "
131,Guinea,Africa,"14,967",,85 ,,"14,502",380,24,"1,121",6,"127,750","9,568","13,352,454 "
132,Syria,Asia,"14,863",,978 ,,"8,679","5,206",,837,55,,,"17,763,266 "
133,Cabo Verde,Africa,"14,761",+20,139 ,,"14,240",382,23,"26,371",248,"113,493","202,758","559,747 "
134,Mayotte,Africa,"13,535",,78 ,,"2,964","10,493",25,"48,884",282,"88,733","320,473","276,881 "
135,Tajikistan,Asia,"13,308",,90 ,,"13,218",0,,"1,376",9,,,"9,670,120 "
136,Gabon,Africa,"12,577",,73 ,,"11,534",970,22,"5,570",32,"480,180","212,639","2,258,189 "
137,Belize,North America,"12,145",,313 ,,"11,626",206,1,"30,204",778,"77,377","192,431","402,103 "
138,Haiti,North America,"12,143",,247 ,,"9,354","2,542",,"1,057",21,"49,333","4,294","11,489,009 "
139,Burkina Faso,Africa,"11,614",+26,138 ,,"10,900",576,,546,6,,,"21,256,656 "
140,Réunion,Africa,"10,907",,47 ,,"10,049",811,17,"12,128",52,"98,785","109,847","899,298 "
141,Hong Kong,Asia,"10,789",+9,193 ,,"10,206",390,21,"1,432",26,"7,089,664","940,909","7,534,908 "
142,Andorra,Europe,"10,503",,107 ,,"9,911",485,15,"135,799","1,383","193,595","2,503,103","77,342 "
143,Lesotho,Africa,"10,254",+289,243 ,+13,"2,990","7,021",,"4,763",113,"55,926","25,978","2,152,840 "
144,Guadeloupe,North America,"9,351",,156 ,,"2,242","6,953",5,"23,368",390,"124,404","310,880","400,167 "
145,Suriname,South America,"8,803",,166 ,,"8,214",423,6,"14,923",281,"39,085","66,256","589,908 "
146,Congo,Africa,"8,419",,123 ,,"7,019","1,277",,"1,503",22,"92,500","16,512","5,601,969 "
147,Bahamas,North America,"8,311",,178 ,,"6,931","1,202",1,"21,009",450,"63,374","160,203","395,585 "
148,Mali,Africa,"8,235",+6,342 ,,"6,200","1,693",,400,17,"145,929","7,080","20,610,134 "
149,Guyana,South America,"8,231",,186 ,,"7,383",662,8,"10,433",236,"55,078","69,814","788,923 "
150,Trinidad and Tobago,North America,"7,642",,138 ,,"7,346",158,2,"5,450",98,"89,400","63,751","1,402,321 "
151,Aruba,North America,"7,413",,68 ,,"7,067",278,11,"69,249",635,"95,257","889,845","107,049 "
152,Martinique,North America,"6,553",,45 ,,98,"6,410",3,"17,471",120,"94,694","252,461","375,083 "
153,Nicaragua,North America,"6,347",,171 ,,"4,225","1,951",,951,26,,,"6,673,598 "
154,Iceland,Europe,"6,039",+6,29 ,,"5,984",26,8,"17,626",85,"490,960","1,432,937","342,625 "
155,Djibouti,Africa,"5,980",+9,63 ,,"5,861",56,,"5,998",63,"112,250","112,596","996,927 "
156,Togo,Africa,"5,874",,81 ,,"5,004",789,,699,10,"220,551","26,260","8,398,640 "
157,Equatorial Guinea,Africa,"5,694",,87 ,,"5,426",181,1,"3,978",61,"93,607","65,400","1,431,306 "
158,South Sudan,Africa,"5,413",,74 ,,"3,769","1,570",9,480,7,"97,646","8,660","11,275,396 "
159,Somalia,Africa,"5,183",,152 ,,"3,739","1,292",,321,9,,,"16,166,513 "
160,CAR,Africa,"4,996",,63 ,,"4,885",48,2,"1,023",13,"35,523","7,277","4,881,854 "
161,Niger,Africa,"4,695",,169 ,,"4,152",374,3,190,7,"77,438","3,130","24,743,909 "
162,Curaçao,North America,"4,650",,22 ,,"4,568",60,2,"28,265",134,"47,264","287,298","164,512 "
163,Benin,Africa,"4,560",,56 ,,"3,772",732,,370,5,"443,877","36,032","12,319,118 "
164,Gambia,Africa,"4,414",,138 ,,"3,901",375,1,"1,795",56,"38,070","15,485","2,458,508 "
165,Gibraltar,Europe,"4,223",+4,87 ,+3,"4,069",67,8,"125,367","2,583","173,395","5,147,543","33,685 "
166,Channel Islands,Europe,"4,004",+5,83 ,,"3,680",241,4,"22,898",475,"345,508","1,975,890","174,862 "
167,Sierra Leone,Africa,"3,823",,79  ,,"2,578","1,166",,473,10,"116,448","14,416","8,077,427 "
168,Chad,Africa,"3,645",,129 ,,"3,175",341,,218,8,,,"16,716,226 "
169,Comoros,Africa,"3,334",,129 ,,"2,777",428,,"3,784",146,,,"881,064 "
170,San Marino,Europe,"3,317",+39,72 ,,"2,993",252,4,"97,628","2,119","37,960","1,117,259","33,976 "
171,Guinea-Bissau,Africa,"2,924",,46 ,,"2,464",414,3,"1,464",23,"48,229","24,154","1,996,744 "
172,Liechtenstein,Europe,"2,539",,52 ,,"2,457",30,2,"66,473","1,361","26,526","694,471","38,196 "
173,Saint Lucia,North America,"2,519",,23 ,,"1,778",718,2,"13,679",125,"28,085","152,511","184,151 "
174,Eritrea,Africa,"2,429",,7 ,,"1,828",594,,679,2,"23,693","6,624","3,576,930 "
175,Mongolia,Asia,"2,383",+32,2 ,,"1,711",670,4,720,0.6,"1,376,250","415,652","3,311,061 "
176,New Zealand,Australia/Oceania,"2,336",+6,25 ,,"2,264",47,,467,5,"1,589,949","317,856","5,002,100 "
177,Vietnam,Asia,"2,269",+41,35 ,,"1,541",693,,23,0.4,"1,529,651","15,627","97,884,443 "
178,Yemen,Asia,"2,145",,617 ,,"1,430",98,23,71,20,"17,404",576,"30,232,294 "
179,Barbados,North America,"2,061",,23 ,,"1,616",422,1,"7,166",80,"112,556","391,370","287,595 "
180,Sint Maarten,North America,"1,998",,27 ,,"1,913",58,1,"46,272",625,"16,065","372,056","43,179 "
181,Liberia,Africa,"1,956",,84 ,,"1,770",102,2,381,16,"67,081","13,073","5,131,146 "
182,Seychelles,Africa,"1,892",,8 ,,"1,354",530,,"19,164",81,"5,200","52,670","98,727 "
183,Turks and Caicos,North America,"1,873",,13 ,,"1,547",313,8,"47,973",333,"16,037","410,752","39,043 "
184,Burundi,Africa,"1,849",+25,3 ,,773,"1,073",,153,0.2,"90,019","7,434","12,108,801 "
185,Monaco,Europe,"1,760",,21 ,,"1,530",209,8,"44,652",533,"51,953","1,318,069","39,416 "
186,Sao Tome and Principe,Africa,"1,482",,19 ,,"1,106",357,,"6,685",86,"11,592","52,291","221,682 "
187,St. Vincent Grenadines,North America,"1,418",,6 ,,554,858,2,"12,756",54,"33,210","298,759","111,160 "
188,Saint Martin,North America,"1,408",,12 ,,"1,050",346,7,"36,033",307,"18,619","476,494","39,075 "
189,Taiwan,Asia,937,,9 ,,859,69,,39,0.4,"167,278","7,016","23,843,744 "
190,Papua New Guinea,Australia/Oceania,914,,9 ,,846,59,,101,1.0,"43,728","4,831","9,052,053 "
191,Bhutan,Asia,866,+2,1 ,,856,9,,"1,115",1,"499,744","643,256","776,898 "
192,Diamond Princess,,712,,13 ,,699,0,,,,,, 
193,Bermuda,North America,694,,12 ,,675,7,3,"11,169",193,"168,422","2,710,625","62,134 "
194,Faeroe Islands,Europe,657,,1 ,,654,2,,"13,414",20,"227,222","4,639,172","48,979 "
195,Mauritius,Africa,601,+6,10 ,,554,37,,472,8,"289,552","227,441","1,273,088 "
196,Tanzania,Africa,509,,21 ,,183,305,7,8,0.3,,,"60,782,504 "
197,Cambodia,Asia,479,, ,,469,10,,28,,"434,424","25,762","16,862,785 "
198,St. Barth,North America,455,,1 ,,247,207,,"45,978",101,"15,063","1,522,130","9,896 "
199,Isle of Man,Europe,436,,25 ,,408,3,,"5,111",293,"29,876","350,189","85,314 "
200,Antigua and Barbuda,North America,427,,9 ,,199,219,1,"4,338",91,"11,607","117,915","98,435 "
201,Cayman Islands,North America,416,,2 ,,378,36,1,"6,284",30,"70,163","1,059,832","66,202 "
202,Caribbean Netherlands,North America,360,,3 ,,244,113,,"13,649",114,"5,145","195,071","26,375 "
203,Brunei ,Asia,184,,3 ,,177,4,,418,7,"95,750","217,570","440,089 "
204,Grenada,North America,148,,1 ,,146,1,,"1,311",9,"20,288","179,780","112,849 "
205,Dominica,North America,121,, ,,110,11,,"1,678",,"9,977","138,381","72,098 "
206,British Virgin Islands,North America,114,,1 ,,95,18,,"3,755",33,"13,223","435,583","30,357 "
207,Timor-Leste,Asia,102,, ,,62,40,,76,,"19,919","14,932","1,334,006 "
208,Fiji,Australia/Oceania,56,,2 ,,54,0,,62,2,"27,932","31,018","900,498 "
209,Falkland Islands,South America,53,, ,,38,15,,"14,963",,"6,940","1,959,345","3,542 "
210,New Caledonia,Australia/Oceania,52,, ,,49,3,,181,,"21,897","76,241","287,208 "
211,Macao,Asia,48,, ,,46,2,,73,,"4,369","6,672","654,838 "
212,Laos,Asia,45,, ,,41,4,,6,,"108,010","14,713","7,341,157 "
213,Saint Kitts and Nevis,North America,41,, ,,39,2,,767,,"8,533","159,692","53,434 "
214,Greenland,North America,30,, ,,30,0,,528,,"17,382","305,849","56,832 "
215,Vatican City,Europe,27,, ,,15,12,,"33,666",,,,802 
216,Saint Pierre Miquelon,North America,24,, ,,16,8,,"4,155",,"3,729","645,602","5,776 "
217,Montserrat,North America,20,,1 ,,13,6,,"4,005",200,947,"189,628","4,994 "
218,Anguilla,North America,18,, ,,16,2,,"1,193",,"8,256","547,262","15,086 "
219,Solomon Islands,Australia/Oceania,18,, ,,14,4,,26,,"4,500","6,454","697,287 "
220,Western Sahara,Africa,10,,1 ,,8,1,,16,2,,,"606,409 "
221,MS Zaandam,,9,,2 ,,7,0,,,,,, 
222,Wallis and Futuna,Australia/Oceania,9,, ,,5,4,,810,,"1,202","108,142","11,115 "
223,Marshall Islands,Australia/Oceania,4,, ,,4,0,,67,,,,"59,439 "
224,Samoa,Australia/Oceania,3,, ,,2,1,,15,,,,"199,237 "
225,Micronesia,Australia/Oceania,1,, ,,1,0,,9,,,,"115,774 "
226,Vanuatu,Australia/Oceania,1,, ,,1,0,,3,,470,"1,508","311,581 "
227,China,Asia,"89,772",+9,"4,636 ",,"84,499",637,11,62,3,"160,000,000","111,163","1,439,323,776 "
228,Total:,North America,"32,404,817","+35,560","718,463","+1,063","21,644,999","10,041,355","26,054",,,,,
229,Total:,Asia,"24,092,334","+58,199","386,420",+669,"22,644,994","1,060,920","22,369",,,,,
230,Total:,South America,"16,939,823","+9,995","442,266",+229,"15,259,788","1,237,769","20,004",,,,,
231,Total:,Europe,"32,319,001","+75,431","768,786","+2,085","19,137,307","12,412,908","27,321",,,,,
232,Total:,Africa,"3,779,905","+4,390","98,713",+112,"3,307,963","373,229","2,440",,,,,
233,Total:,Australia/Oceania,"50,557",+8,"1,080",,"34,208","15,269",5,,,,,
234,Total:,,721,,15,,706,0,0,,,,,
235,Total:,All,"109,587,158","+183,583","2,415,743","+4,158","82,029,965","25,141,450","98,193","14,059.0",309.9,,,
